         20709608 function calls (20706000 primitive calls) in 20.367 seconds

   Ordered by: cumulative time
   List reduced from 375 to 90 due to restriction <90>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.019    0.019   20.367   20.367 governed_benchmark.py:90(<lambda>)
        1    3.306    3.306   20.348   20.348 historical_ingestion.py:1532(build_historical_ingestion)
   300011    0.223    0.000    4.575    0.000 historical_ingestion.py:181(_stable_json)
   300013    0.631    0.000    4.358    0.000 __init__.py:183(dumps)
   300013    0.541    0.000    3.588    0.000 encoder.py:183(encode)
   300000    1.366    0.000    3.463    0.000 historical_ingestion.py:797(add)
   200011    0.334    0.000    2.803    0.000 historical_ingestion.py:185(_digest)
   300013    2.789    0.000    2.789    0.000 encoder.py:205(iterencode)
   300003    1.443    0.000    2.414    0.000 historical_ingestion.py:390(_iter_source_rows)
   600000    1.306    0.000    1.941    0.000 historical_ingestion.py:535(_parse_number)
   200002    0.270    0.000    1.166    0.000 historical_ingestion.py:450(_canonical_timestamp)
   600193    0.743    0.000    0.743    0.000 {method 'update' of '_hashlib.HASH' objects}
   201000    0.347    0.000    0.720    0.000 historical_ingestion.py:425(_parse_timestamp)
   200004    0.713    0.000    0.713    0.000 {method 'isoformat' of 'datetime.datetime' objects}
   300000    0.127    0.000    0.670    0.000 {built-in method builtins.all}
        1    0.213    0.213    0.583    0.583 historical_ingestion.py:1042(_timestamp_profile)
  2902206    0.580    0.000    0.580    0.000 {method 'strip' of 'str' objects}
   300000    0.480    0.000    0.543    0.000 historical_ingestion.py:417(<genexpr>)
  2502905    0.505    0.000    0.505    0.000 {method 'get' of 'dict' objects}
   300000    0.209    0.000    0.398    0.000 historical_ingestion.py:766(_has_unit_marker)
  1901579    0.344    0.000    0.344    0.000 {built-in method builtins.len}
        3    0.001    0.000    0.334    0.111 historical_ingestion.py:203(file_sha256)
   100011    0.050    0.000    0.323    0.000 tempfile.py:636(func_wrapper)
        2    0.001    0.000    0.287    0.143 upload_state_repository.py:383(persist_immutable_derived_artifact)
   100001    0.270    0.000    0.270    0.000 {method 'write' of '_io.TextIOWrapper' objects}
   200022    0.263    0.000    0.263    0.000 {built-in method _hashlib.openssl_sha256}
   800020    0.246    0.000    0.246    0.000 {method 'replace' of 'str' objects}
   201012    0.234    0.000    0.234    0.000 {built-in method fromisoformat}
   700057    0.231    0.000    0.231    0.000 {built-in method builtins.max}
   200022    0.212    0.000    0.212    0.000 {method 'hexdigest' of '_hashlib.HASH' objects}
       15    0.000    0.000    0.191    0.013 __init__.py:595(__init__)
       16    0.000    0.000    0.191    0.012 __init__.py:669(update)
        6    0.064    0.011    0.191    0.032 {built-in method _collections._count_elements}
   602121    0.166    0.000    0.166    0.000 {built-in method builtins.isinstance}
   500022    0.163    0.000    0.163    0.000 {method 'encode' of 'str' objects}
   600071    0.158    0.000    0.158    0.000 {method 'lower' of 'str' objects}
        2    0.139    0.070    0.139    0.070 {built-in method posix.fsync}
   300012    0.138    0.000    0.138    0.000 encoder.py:105(__init__)
   412294    0.133    0.000    0.133    0.000 {method 'add' of 'set' objects}
   100000    0.126    0.000    0.126    0.000 {method 'replace' of 'datetime.datetime' objects}
   300109    0.123    0.000    0.123    0.000 {method 'search' of 're.Pattern' objects}
   300001    0.105    0.000    0.105    0.000 {method 'astimezone' of 'datetime.datetime' objects}
       70    0.010    0.000    0.101    0.001 {built-in method builtins.sum}
   600000    0.100    0.000    0.100    0.000 {built-in method math.isfinite}
   325090    0.092    0.000    0.092    0.000 {method 'append' of 'list' objects}
   201059    0.090    0.000    0.090    0.000 {method 'endswith' of 'str' objects}
   300058    0.088    0.000    0.088    0.000 {method 'join' of 'str' objects}
   300000    0.076    0.000    0.076    0.000 {method 'to_bytes' of 'int' objects}
   100000    0.018    0.000    0.070    0.000 historical_ingestion.py:1096(<genexpr>)
   100020    0.068    0.000    0.068    0.000 {built-in method builtins.sorted}
   300000    0.066    0.000    0.066    0.000 {method 'isascii' of 'str' objects}
        1    0.027    0.027    0.061    0.061 historical_ingestion.py:1108(<genexpr>)
   200192    0.060    0.000    0.060    0.000 {method 'items' of 'dict' objects}
      206    0.057    0.000    0.057    0.000 {method 'read' of '_io.BufferedReader' objects}
   300000    0.056    0.000    0.056    0.000 historical_ingestion.py:745(_convert_value)
    99999    0.056    0.000    0.056    0.000 historical_ingestion.py:1741(<genexpr>)
   100037    0.052    0.000    0.052    0.000 {built-in method builtins.round}
        3    0.005    0.002    0.035    0.012 historical_ingestion.py:858(profile)
        1    0.000    0.000    0.034    0.034 historical_ingestion.py:219(preserve_raw_source)
