         69039809 function calls (68737909 primitive calls) in 42.823 seconds

   Ordered by: cumulative time
   List reduced from 1137 to 90 due to restriction <90>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   42.823   42.823 governed_benchmark.py:89(<lambda>)
        1    0.070    0.070   42.823   42.823 governed_benchmark.py:75(evaluate)
        1    0.018    0.018   42.753   42.753 sii_engine.py:51(evaluate_sii)
       33    0.381    0.012   11.645    0.353 common.py:51(numeric_values)
        1    0.248    0.248   11.078   11.078 multiscale_analysis.py:45(analyze_multiscale)
  2220330    2.277    0.000   10.787    0.000 common.py:41(finite_number)
  2705316    6.025    0.000    9.527    0.000 data_quality.py:306(parse_numeric_value)
    35073    0.966    0.000    9.324    0.000 common.py:21(column)
        1    0.369    0.369    8.726    8.726 mode_conditioned_baseline.py:31(analyze_mode_conditioned_baseline)
        4    0.024    0.006    8.420    2.105 multiscale_analysis.py:454(_signal_metrics)
   100003    0.942    0.000    7.117    0.000 operating_modes.py:230(describe_mode)
        1    0.002    0.002    6.118    6.118 phase4.py:43(evaluate_phase4)
        1    0.000    0.000    5.450    5.450 phase4.py:516(_advanced_modules)
        1    0.030    0.030    4.869    4.869 sii_runner.py:414(run_sii_runner)
   648100    1.143    0.000    3.530    0.000 data_quality.py:284(parse_timestamp)
        1    0.055    0.055    3.205    3.205 empirical_thresholds.py:30(estimate_empirical_thresholds)
     1024    0.250    0.000    3.161    0.003 sii_runner.py:72(ingest)
        1    0.004    0.004    3.075    3.075 phase4.py:538(<lambda>)
        1    0.080    0.080    3.071    3.071 dynamical_stability.py:12(analyze_dynamical_stability)
        1    0.002    0.002    2.824    2.824 temporal_math.py:20(evaluate_temporal_math)
   304229    1.403    0.000    2.710    0.000 {built-in method builtins.sorted}
        1    0.029    0.029    2.674    2.674 baseline_analysis.py:23(build_baseline_analysis)
        1    0.002    0.002    2.374    2.374 phase4.py:531(<lambda>)
        1    0.007    0.007    2.372    2.372 spectral_analysis.py:21(analyze_spectral_behavior)
        1    0.070    0.070    2.054    2.054 mode_conditioned_baseline.py:287(_recent_feature_support)
        4    0.287    0.072    1.984    0.496 common.py:129(parse_timestamps)
        1    0.066    0.066    1.938    1.938 baseline_analysis.py:353(select_adaptive_baseline_window)
        1    0.080    0.080    1.712    1.712 temporal_math.py:223(_entropy_growth_series)
        3    0.120    0.040    1.679    0.560 common.py:139(timestamp_statistics)
   100003    0.387    0.000    1.665    0.000 operating_modes.py:287(summarize_signal)
   648100    0.430    0.000    1.646    0.000 data_quality.py:331(normalize_timestamp)
        1    0.051    0.051    1.639    1.639 empirical_thresholds.py:200(_relationship_window_correlations)
       96    0.001    0.000    1.628    0.017 statistics.py:601(median)
273412/273411    0.791    0.000    1.626    0.000 {built-in method builtins.sum}
   200006    0.325    0.000    1.621    0.000 operating_modes.py:399(majority)
        1    0.363    0.363    1.560    1.560 sii_runner.py:539(build_sensor_vectors)
    17523    0.288    0.000    1.462    0.000 common.py:62(paired_values)
  7010902    1.456    0.000    1.456    0.000 {method 'replace' of 'str' objects}
     9753    0.552    0.000    1.433    0.000 temporal_math.py:257(_column_entropy)
    17523    0.337    0.000    1.420    0.000 common.py:87(pearson)
       21    0.077    0.004    1.408    0.067 common.py:109(median_absolute_deviation)
        4    0.096    0.024    1.394    0.348 multiscale_analysis.py:581(_relationship_metrics)
  5210995    1.371    0.000    1.371    0.000 {method 'get' of 'dict' objects}
298475/132    0.563    0.000    1.322    0.010 copy.py:118(deepcopy)
 1951/139    0.014    0.000    1.321    0.010 copy.py:217(_deepcopy_dict)
 1410/564    0.086    0.000    1.306    0.002 copy.py:191(_deepcopy_list)
        1    0.000    0.000    1.270    1.270 evidence_fusion.py:37(fuse_evidence)
       21    0.003    0.000    1.269    0.060 evidence_fusion.py:164(_module_evidence_item)
   266000    0.168    0.000    1.160    0.000 operating_modes.py:406(numeric_value)
   148000    0.096    0.000    1.070    0.000 operating_modes.py:410(timestamp_value)
    99801    0.658    0.000    1.046    0.000 baseline_analysis.py:416(prefix_window_stability_score)
  4618551    1.011    0.000    1.011    0.000 {method 'strip' of 'str' objects}
   648100    1.006    0.000    1.006    0.000 {method 'replace' of 'datetime.datetime' objects}
   100003    0.251    0.000    1.000    0.000 operating_modes.py:429(mode_id)
   200006    0.259    0.000    0.996    0.000 __init__.py:595(__init__)
