         1405780 function calls (1343903 primitive calls) in 1.757 seconds

   Ordered by: cumulative time
   List reduced from 866 to 90 due to restriction <90>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.003    0.003    1.757    1.757 governed_benchmark.py:56(<lambda>)
        1    0.146    0.146    1.754    1.754 behavioral_baseline.py:706(build_behavioral_baseline)
        1    0.005    0.005    0.413    0.413 behavioral_baseline.py:348(_learn_distributions)
        1    0.027    0.027    0.359    0.359 behavioral_baseline.py:202(_identify_modes)
      534    0.289    0.001    0.326    0.001 behavioral_baseline.py:135(_correlation)
       27    0.042    0.002    0.298    0.011 behavioral_baseline.py:267(_signal_characteristics)
    89169    0.273    0.000    0.273    0.000 {built-in method builtins.max}
     9440    0.017    0.000    0.272    0.000 __init__.py:618(most_common)
     9440    0.009    0.000    0.253    0.000 heapq.py:523(nlargest)
        1    0.001    0.001    0.200    0.200 behavioral_baseline.py:495(_learn_relationship_graph)
       27    0.011    0.000    0.199    0.007 behavioral_baseline.py:377(_relationship_edge)
        1    0.006    0.006    0.198    0.198 sensor_health.py:20(assess_sensor_health)
        3    0.015    0.005    0.130    0.043 sensor_health.py:553(numeric_series)
        1    0.017    0.017    0.120    0.120 data_quality.py:118(profile_timestamps)
     1319    0.071    0.000    0.120    0.000 {built-in method builtins.sum}
        1    0.000    0.000    0.111    0.111 behavioral_model_repository.py:147(persist_candidate)
       27    0.006    0.000    0.110    0.004 behavioral_baseline.py:55(series)
    18003    0.019    0.000    0.107    0.000 sensor_health.py:706(number)
    40000    0.069    0.000    0.103    0.000 behavioral_baseline.py:93(_number)
      105    0.017    0.000    0.100    0.001 behavioral_baseline.py:46(column)
        4    0.000    0.000    0.090    0.022 behavioral_model_repository.py:35(_write)
    18003    0.052    0.000    0.084    0.000 data_quality.py:306(parse_numeric_value)
        1    0.005    0.005    0.082    0.082 behavioral_baseline.py:609(_fit_expected_models)
        1    0.001    0.001    0.080    0.080 telemetry_normalization.py:184(build_normalization_report)
    10000    0.026    0.000    0.078    0.000 data_quality.py:284(parse_timestamp)
       12    0.007    0.001    0.077    0.006 behavioral_baseline.py:556(_fit_linear_model)
        1    0.000    0.000    0.067    0.067 telemetry_normalization.py:248(dataframe_from_rows)
    20000    0.013    0.000    0.055    0.000 behavioral_baseline.py:214(<genexpr>)
       39    0.041    0.001    0.053    0.001 behavioral_baseline.py:60(paired)
        4    0.000    0.000    0.047    0.012 upload_state_repository.py:781(write_shared_state_strict)
        4    0.000    0.000    0.046    0.012 runtime_db.py:2202(upsert_latest_payload)
       54    0.000    0.000    0.044    0.001 behavioral_baseline.py:128(_std)
        4    0.000    0.000    0.043    0.011 upload_state_repository.py:549(write_local_json)
        8    0.000    0.000    0.043    0.005 __init__.py:183(dumps)
        8    0.004    0.000    0.042    0.005 encoder.py:183(encode)
       60    0.000    0.000    0.042    0.001 {built-in method builtins.next}
       60    0.001    0.000    0.042    0.001 runtime_db.py:74(db_connection)
       68    0.026    0.000    0.042    0.001 {built-in method builtins.sorted}
