         2152638 function calls (2149030 primitive calls) in 2.145 seconds

   Ordered by: cumulative time
   List reduced from 375 to 90 due to restriction <90>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.003    0.003    2.145    2.145 governed_benchmark.py:90(<lambda>)
        1    0.328    0.328    2.141    2.141 historical_ingestion.py:1532(build_historical_ingestion)
    30011    0.022    0.000    0.475    0.000 historical_ingestion.py:181(_stable_json)
    30013    0.065    0.000    0.456    0.000 __init__.py:183(dumps)
    30013    0.053    0.000    0.377    0.000 encoder.py:183(encode)
    30000    0.145    0.000    0.349    0.000 historical_ingestion.py:797(add)
    30013    0.295    0.000    0.295    0.000 encoder.py:205(iterencode)
    30003    0.143    0.000    0.287    0.000 historical_ingestion.py:390(_iter_source_rows)
    20011    0.032    0.000    0.273    0.000 historical_ingestion.py:185(_digest)
    60000    0.133    0.000    0.198    0.000 historical_ingestion.py:535(_parse_number)
    20002    0.026    0.000    0.116    0.000 historical_ingestion.py:450(_canonical_timestamp)
    30000    0.012    0.000    0.115    0.000 {built-in method builtins.all}
    30000    0.096    0.000    0.102    0.000 historical_ingestion.py:417(<genexpr>)
    21000    0.035    0.000    0.072    0.000 historical_ingestion.py:425(_parse_timestamp)
    20004    0.071    0.000    0.071    0.000 {method 'isoformat' of 'datetime.datetime' objects}
    60021    0.071    0.000    0.071    0.000 {method 'update' of '_hashlib.HASH' objects}
   292206    0.058    0.000    0.058    0.000 {method 'strip' of 'str' objects}
   252905    0.054    0.000    0.054    0.000 {method 'get' of 'dict' objects}
        1    0.009    0.009    0.046    0.046 historical_ingestion.py:1042(_timestamp_profile)
    30000    0.019    0.000    0.037    0.000 historical_ingestion.py:766(_has_unit_marker)
    10005    0.005    0.000    0.035    0.000 tempfile.py:636(func_wrapper)
   191579    0.034    0.000    0.034    0.000 {built-in method builtins.len}
        3    0.000    0.000    0.033    0.011 historical_ingestion.py:203(file_sha256)
    10001    0.030    0.000    0.030    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        2    0.000    0.000    0.029    0.014 upload_state_repository.py:383(persist_immutable_derived_artifact)
    20022    0.026    0.000    0.026    0.000 {built-in method _hashlib.openssl_sha256}
    80020    0.025    0.000    0.025    0.000 {method 'replace' of 'str' objects}
    21012    0.024    0.000    0.024    0.000 {built-in method fromisoformat}
    70057    0.021    0.000    0.021    0.000 {built-in method builtins.max}
        3    0.002    0.001    0.021    0.007 historical_ingestion.py:858(profile)
    20022    0.021    0.000    0.021    0.000 {method 'hexdigest' of '_hashlib.HASH' objects}
        2    0.021    0.010    0.021    0.010 {built-in method posix.fsync}
       15    0.000    0.000    0.019    0.001 __init__.py:595(__init__)
       16    0.000    0.000    0.019    0.001 __init__.py:669(update)
        6    0.006    0.001    0.019    0.003 {built-in method _collections._count_elements}
    62117    0.017    0.000    0.017    0.000 {built-in method builtins.isinstance}
    52294    0.017    0.000    0.017    0.000 {method 'add' of 'set' objects}
    50022    0.016    0.000    0.016    0.000 {method 'encode' of 'str' objects}
    60071    0.016    0.000    0.016    0.000 {method 'lower' of 'str' objects}
    30012    0.015    0.000    0.015    0.000 encoder.py:105(__init__)
        3    0.000    0.000    0.014    0.005 statistics.py:977(pstdev)
        3    0.007    0.002    0.014    0.005 statistics.py:208(_ss)
    51088    0.013    0.000    0.013    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.013    0.013 historical_ingestion.py:325(persist_ingestion_record)
    10000    0.012    0.000    0.012    0.000 {method 'replace' of 'datetime.datetime' objects}
    30109    0.012    0.000    0.012    0.000 {method 'search' of 're.Pattern' objects}
       70    0.001    0.000    0.012    0.000 {built-in method builtins.sum}
    30001    0.011    0.000    0.011    0.000 {method 'astimezone' of 'datetime.datetime' objects}
    60000    0.010    0.000    0.010    0.000 {built-in method math.isfinite}
        1    0.000    0.000    0.010    0.010 historical_ingestion.py:219(preserve_raw_source)
    10020    0.009    0.000    0.009    0.000 {built-in method builtins.sorted}
    21059    0.009    0.000    0.009    0.000 {method 'endswith' of 'str' objects}
    30058    0.009    0.000    0.009    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.008    0.008 upload_state_repository.py:758(write_shared_state)
