         2574082 function calls (2435380 primitive calls) in 5.005 seconds

   Ordered by: cumulative time
   List reduced from 1132 to 90 due to restriction <90>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1458    0.011    0.000    0.044    0.000 sii_engine.py:142(report)
        6    0.001    0.000    0.042    0.007 multiscale_analysis.py:454(_signal_metrics)
       15    0.000    0.000    0.041    0.003 behavioral_model_store.py:510(_attributed)
     3348    0.016    0.000    0.041    0.000 {method 'any' of 'numpy.generic' objects}
78339/78189    0.037    0.000    0.040    0.000 {built-in method builtins.isinstance}
     5472    0.013    0.000    0.040    0.000 data_quality.py:284(parse_timestamp)
        3    0.000    0.000    0.039    0.013 runtime_db.py:2202(upsert_latest_payload)
     6033    0.018    0.000    0.039    0.000 _ufunc_config.py:440(__enter__)
    86106    0.038    0.000    0.038    0.000 {built-in method numpy.asanyarray}


         2574082 function calls (2435380 primitive calls) in 5.005 seconds

   Ordered by: internal time
   List reduced from 1132 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      720    0.277    0.000    3.301    0.005 sii_runner.py:72(ingest)
    31956    0.259    0.000    0.259    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     9777    0.200    0.000    0.459    0.000 _type_check_impl.py:373(nan_to_num)
126514/403    0.197    0.000    0.427    0.001 copy.py:118(deepcopy)
     1875    0.122    0.000    0.365    0.000 _function_base_impl.py:2680(cov)
     9099    0.113    0.000    0.295    0.000 _methods.py:118(_mean)
     1413    0.103    0.000    0.261    0.000 temporal_math.py:257(_column_entropy)
     2757    0.102    0.000    0.136    0.000 shape_base.py:80(atleast_2d)
    17574    0.102    0.000    0.102    0.000 _methods.py:99(_clip)
   307888    0.090    0.000    0.090    0.000 {method 'get' of 'dict' objects}
 7223/424    0.083    0.000    0.423    0.001 copy.py:217(_deepcopy_dict)
     9777    0.083    0.000    0.083    0.000 _ufunclike_impl.py:70(isposinf)
    47326    0.082    0.000    0.082    0.000 {built-in method builtins.round}
    21150    0.074    0.000    0.133    0.000 data_quality.py:306(parse_numeric_value)
    15846    0.071    0.000    0.217    0.000 fromnumeric.py:69(_wrapreduction)
